Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000113	JC_02497-RA	DPOGS205179-PA
OG0000114	JC_11661-RA, JC_11662-RA	DPOGS206960-PA
OG0000115	JC_14206-RA	DPOGS201102-PA, DPOGS201105-PA, DPOGS201103-PA
OG0000115	JC_09318-RA, JC_14203-RA	DPOGS201101-PA
OG0000116	JC_05019-RA	DPOGS211429-PA
OG0000117	JC_11736-RA, JC_11741-RA	DPOGS206946-PA
OG0000117	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA	DPOGS206945-PA
OG0000118	JC_15186-RA, JC_03928-RA	DPOGS216140-PA
OG0000119	JC_05589-RA, JC_11803-RA, JC_05582-RA, JC_05587-RA, JC_05588-RA	DPOGS203233-PA
OG0000120	JC_16881-RA, JC_13575-RA, JC_15154-RA, JC_13596-RA, JC_01356-RA, JC_13017-RA	DPOGS202536-PA
OG0000122	JC_03302-RA	DPOGS200373-PA
OG0000122	JC_15261-RA, JC_00884-RA	DPOGS200374-PA
OG0000123	JC_00053-RA	DPOGS204956-PA
OG0000124	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA	DPOGS206009-PA
OG0000125	JC_13371-RA	DPOGS214824-PA, DPOGS214834-PA, DPOGS214823-PA
OG0000125	JC_13370-RA, JC_13369-RA	DPOGS214825-PA
OG0000127	JC_14455-RA, JC_14093-RA, JC_00089-RA, JC_14232-RA, JC_02393-RA, JC_06685-RA, JC_06683-RA, JC_06682-RA, JC_06681-RA, JC_06690-RA, JC_06684-RA, JC_06689-RA, JC_17202-RA, JC_17203-RA, JC_06688-RA, JC_06677-RA, JC_17226-RA, JC_06678-RA	DPOGS210351-PA
OG0000128	JC_10255-RA	DPOGS210158-PA
OG0000128	JC_10263-RA	DPOGS211778-PA
OG0000128	JC_10261-RA	DPOGS210161-PA
OG0000129	JC_14536-RA, JC_14538-RA, JC_14867-RA, JC_14534-RA, JC_14537-RA, JC_14535-RA	DPOGS210178-PA
OG0000131	JC_03944-RA	DPOGS211520-PA
OG0000131	JC_04373-RA	DPOGS211512-PA, DPOGS211510-PA, DPOGS211511-PA, DPOGS211513-PA
