Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000103	Vcard_DToL08115-RA	JC_11854-RA
OG0000103	Vcard_DToL08125-RA	JC_11859-RA
OG0000103	Vcard_DToL08113-RA	JC_11849-RA, JC_11851-RA
OG0000103	Vcard_DToL08122-RA	JC_11860-RA
OG0000104	Vcard_DToL07071-RA, Vcard_DToL05168-RA, Vcard_DToL10371-RA, Vcard_DToL13900-RA, Vcard_DToL17254-RA, Vcard_DToL01566-RA, Vcard_DToL02964-RA, Vcard_DToL04908-RA, Vcard_DToL07304-RA, Vcard_DToL15931-RA, Vcard_DToL03327-RA, Vcard_DToL11937-RA, Vcard_DToL15171-RA, Vcard_DToL13575-RA, Vcard_DToL07670-RA, Vcard_DToL10926-RA, Vcard_DToL09586-RA, Vcard_DToL11935-RA, Vcard_DToL07869-RA, Vcard_DToL08421-RA, Vcard_DToL14533-RA, Vcard_DToL13107-RA, Vcard_DToL07049-RA, Vcard_DToL12377-RA, Vcard_DToL07310-RA, Vcard_DToL05779-RA, Vcard_DToL00871-RA, Vcard_DToL18176-RA, Vcard_DToL04307-RA, Vcard_DToL09178-RA, Vcard_DToL06774-RA, Vcard_DToL12274-RA, Vcard_DToL00149-RA, Vcard_DToL07658-RA, Vcard_DToL04397-RA	JC_06675-RA
OG0000108	Vcard_DToL18043-RA	JC_03919-RA, JC_15130-RA, JC_03918-RA
OG0000109	Vcard_DToL04718-RA	JC_02996-RA, JC_02995-RA
OG0000109	Vcard_DToL04721-RA	JC_02993-RA, JC_02992-RA, JC_02994-RA
OG0000109	Vcard_DToL04712-RA	JC_03001-RA
OG0000110	Vcard_DToL07723-RA	JC_12230-RA
OG0000110	Vcard_DToL07721-RA	JC_12228-RA
OG0000110	Vcard_DToL07720-RA	JC_12227-RA, JC_12226-RA
OG0000111	Vcard_DToL10424-RA	JC_06517-RA
OG0000111	Vcard_DToL05296-RA	JC_04966-RA
OG0000111	Vcard_DToL05301-RA	JC_04964-RA
OG0000113	Vcard_DToL03481-RA	JC_16657-RA, JC_02497-RA
OG0000114	Vcard_DToL07873-RA	JC_11662-RA
OG0000115	Vcard_DToL16325-RA	JC_14206-RA
