Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000109	HMEL007501g1.t1	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA
OG0000109	HMEL032662g1.t1	HEL_012849-RA, HEL_012847-RA
OG0000110	HMEL008599g1.t1	HEL_014551-RA
OG0000111	HMEL017867g1.t1	HEL_004223-RA
OG0000113	HMEL037320g1.t1	HEL_011798-RA
OG0000113	HMEL037318g1.t1	HEL_011796-RA
OG0000113	HMEL037317g1.t1	HEL_011795-RA
OG0000113	HMEL037316g1.t1	HEL_011797-RA
OG0000113	HMEL033908g1.t1	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA
OG0000114	HMEL015510g1.t1	HEL_014390-RA
OG0000114	HMEL015513g1.t1, HMEL008318g1.t1	HEL_009880-RA, HEL_009885-RA
OG0000115	HMEL005318g1.t1	HEL_004784-RA
OG0000115	HMEL031335g1.t1	HEL_004783-RA
OG0000115	HMEL017991g1.t1	HEL_006264-RA
OG0000115	HMEL031336g1.t1, HMEL031337g1.t1, HMEL031333g1.t1, HMEL005973g1.t1	HEL_004779-RA
OG0000116	HMEL017091g1.t1	HEL_000181-RA
OG0000116	HMEL037149g1.t1	HEL_010345-RA
OG0000116	HMEL013498g1.t1	HEL_010451-RA
OG0000117	HMEL033309g1.t1	HEL_013392-RA
OG0000117	HMEL033310g1.t1, HMEL002121g1.t1	HEL_013393-RA
OG0000120	HMEL031759g1.t1, HMEL017453g1.t1	HEL_001395-RA
OG0000120	HMEL036474g1.t1	HEL_005666-RA
OG0000120	HMEL032904g1.t1	HEL_013465-RA
OG0000120	HMEL033195g1.t1	HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA
OG0000124	HMEL011266g1.t1, HMEL032622g1.t1	HEL_012796-RA
OG0000124	HMEL022333g1.t1	HEL_012799-RA
OG0000124	HMEL017507g1.t1	HEL_000153-RA
OG0000125	HMEL003538g1.t1, HMEL030582g1.t1	HEL_008471-RA
OG0000125	HMEL013672g1.t1	HEL_008470-RA
OG0000128	HMEL032417g1.t1, HMEL032418g1.t1	HEL_014291-RA
OG0000128	HMEL007085g1.t1	HEL_014057-RA
OG0000128	HMEL032421g1.t1	HEL_014054-RA
OG0000129	HMEL014468g1.t1	HEL_003330-RA
OG0000131	HMEL022635-RA, HMEL022661-RA, HMEL022609-RA	HEL_004142-RA
OG0000132	HMEL037933g1.t1	HEL_005216-RA, HEL_005214-RA
OG0000132	HMEL037932g1.t1	HEL_005223-RA
OG0000132	HMEL037936g1.t1, HMEL037935g1.t1	HEL_013799-RA, HEL_013798-RA
OG0000133	HMEL010958g1.t1	HEL_004130-RA
OG0000133	HMEL013253g1.t1	HEL_004133-RA
OG0000134	HMEL030656g1.t1	HEL_006876-RA
OG0000134	HMEL017157g1.t1	HEL_006825-RA
OG0000134	HMEL030654g1.t1	HEL_006873-RA
OG0000136	HMEL034103g1.t1	HEL_004124-RA
OG0000137	HMEL022251g1.t1, HMEL031217g1.t1, HMEL031219g1.t1, HMEL007394g1.t1	HEL_001691-RA
OG0000137	HMEL021457g1.t1, HMEL031218g1.t1	HEL_001689-RA
OG0000137	HMEL010316g1.t1	HEL_001690-RA
OG0000138	HMEL013861g1.t1	HEL_002292-RA
OG0000138	HMEL031800g1.t1, HMEL031799g1.t1	HEL_007640-RA
OG0000139	HMEL004636g1.t1	HEL_003606-RA
OG0000139	HMEL011830g1.t1	HEL_003604-RA
OG0000141	HMEL016237g1.t1	HEL_010839-RA, HEL_010838-RA
OG0000142	HMEL013887g1.t1	HEL_010081-RA
OG0000142	HMEL013886g1.t1	HEL_010082-RA
OG0000143	HMEL010202g1.t1	HEL_009892-RA, HEL_009894-RA
OG0000143	HMEL010201g1.t1	HEL_009926-RA, HEL_009927-RA
OG0000143	HMEL033259g1.t1	HEL_009925-RA
OG0000143	HMEL010205g1.t1	HEL_009924-RA
OG0000144	HMEL009988g1.t1	HEL_011567-RA
OG0000144	HMEL009987g1.t1	HEL_011566-RA, HEL_011571-RA, HEL_011570-RA, HEL_011569-RA, HEL_011568-RA
OG0000145	HMEL032724g1.t1	HEL_013443-RA
OG0000145	HMEL003259g1.t1	HEL_013444-RA, HEL_013445-RA
OG0000145	HMEL032772g1.t1, HMEL032723g1.t1	HEL_013441-RA
OG0000145	HMEL032722g1.t1	HEL_013440-RA, HEL_013439-RA, HEL_013442-RA
OG0000147	HMEL022638g1.t1	HEL_007352-RA
OG0000147	HMEL036387g1.t1	HEL_007351-RA
OG0000147	HMEL036388g1.t1	HEL_007357-RA, HEL_007356-RA, HEL_007354-RA
OG0000149	HMEL036082g1.t1	HEL_004261-RA, HEL_004262-RA
OG0000149	HMEL036986g1.t1	HEL_006023-RA
OG0000149	HMEL037096g1.t1	HEL_010669-RA
OG0000149	HMEL021224g1.t1	HEL_010670-RA
OG0000152	HMEL003035g1.t1	HEL_002887-RA
OG0000152	HMEL006925g1.t1	HEL_002885-RA
OG0000153	HMEL032690g1.t1	HEL_011504-RA, HEL_011498-RA, HEL_011499-RA
OG0000153	HMEL032639g1.t1, HMEL021463g1.t1	HEL_012802-RA
OG0000153	HMEL010053g1.t1	HEL_012804-RA
OG0000154	HMEL004219g1.t1	HEL_004718-RA
